city,name,latitude,longitude,address,area_m2,area_missing
Amsterdam,Buurttuin Oost Indisch Groen,52.3622617,4.9460058,"Kramatweg 51, Amsterdam",,True
Amsterdam,Camping Vliegenbos Amsterdam,52.3905786,4.9282097,"Meeuwenlaan 138, Amsterdam",,True
Amsterdam,Het Tuin Kafe,52.37650739999999,4.8617256,"Jasper Leijnsenstraat 21, Amsterdam",,True
Amsterdam,Tuinpark Lissabon,52.3404946,4.814983,"Sloterweg 865, Amsterdam",,True
Amsterdam,Anna's Tuin & Ruigte,52.353722,4.953307100000001,"Science Park 904, Amsterdam",,True
Amsterdam,Science4Nature,52.3544534,4.9553595,"Science Park 904, Amsterdam",,True
Amsterdam,Bajestuin,52.33600920000001,4.9271777,"H.J.E. Wenckebachweg 56, Amsterdam",,True
Amsterdam,Workout Spot - Freeletics,52.3572917,4.8482985,"Saskia van Uilenburgkade 5, Elsloo",,True
Amsterdam,Stadstuin Bos En Lommer,52.3761269,4.846326199999999,"cs, Bos en Lommerplantsoen, Amsterdam",,True
Amsterdam,Sprinklr Planten,52.40715720000001,4.890525600000001,"Displaystraat 19, Amsterdam",,True
Amsterdam,Soeptuin Bredius,52.3885786,4.847381400000001,"Sloterdijkerweg 20, Amsterdam",,True
Amsterdam,Tuinpark Rust en Vreugd,52.3835507,4.9667496,"Paterslaan 10, Amsterdam",,True
Amsterdam,Buurttuin Egelenburg,52.3286688,4.8646862,"Buitenveldert-West, Amsterdam",,True
Amsterdam,Garden Park Tuinwijck,52.3838541,4.974491999999999,"Parkeerplaats, Parkeerplaats, Liergouw 55, Amsterdam",,True
Amsterdam,Gardens buikslotermeer,52.3946791,4.96512,"Volendammerweg 305, Amsterdam",,True
Milan,UNAHOTELS Expo Fiera Milano,45.50208569999999,9.086866500000001,"Via Giovanni Keplero, 12, Pero",,True
Milan,4cento,45.433456,9.193869900000001,"Via Campazzino, 14, Milano",,True
Milan,Indro Montanelli Gardens,45.4744489,9.1993654,"Via Palestro, Milano",,True
Milan,Bar Bianco,45.4736218,9.1774836,"Viale Enrico Ibsen, 4, Milano",,True
Milan,Camping Village city of Milan,45.47361100000001,9.082797200000002,"Via Gaetano Airaghi, 61, Milano",,True
Milan,Parco Agricolo Sud Milano - Uffici,45.46734670000001,9.217817600000002,"Viale Piceno, 60, Milano",,True
Milan,Fondazione Riccardo Catella,45.4852947,9.193078300000002,"Via Gaetano de Castillia, 28, Milano",,True
Milan,Giardini Pagani Di Fabio Pagani,45.4978189,9.205893399999999,"Via Privata Tarvisio, 19, Milano",,True
Milan,VerdeMaVerde,45.5154412,9.174464500000001,"Via Fabriano, 8, Milano",,True
Milan,Garden Anna Stepanovna Politkovskaja,45.48301339999999,9.1876676,"Corso Como, Milano",,True
Milan,Giardini Pagani di Fabio Pagani,45.492369,9.189921000000002,"Via Lario, 13, Milano",,True
Milan,Oasi Smeraldino,45.3909831,9.161399699999999,"Viale Monte Amiata, Rozzano",,True
Milan,Alexander Garden,45.46777509999999,9.191278499999997,"Piazza della Scala, Milano",,True
Milan,Brera Botanical Garden,45.47091469999999,9.1891832,"Via Brera, 28, Milano",,True
Milan,"Giardino ""Enzo Biagi""",45.454343,9.1887431,"Via Aldo Lusardi, 8-10, Milano",,True
Milan,Shared Garden,45.45453099999999,9.1791,"Via Scaldasole, 10/12, Milano",,True
Milan,WWF Lombardia - WWF Italia per la Lombardia,45.47680939999999,9.183279199999998,"Giardino Pippa Bacca, Via Tommaso da Cazzaniga, Milano",,True
Milan,Giardino delle Culture,45.46111880000001,9.211109400000002,"Via Emilio Morosini, 8, Milano",,True
Milan,Community Garden Lea Garofalo,45.48098,9.181711099999998,"Viale Montello, 3, Milano",,True
Milan,Sir Canapa Hemp Shop Milano - Self Service H24,45.4518096,9.213352,"Viale Umbria, 41, Milano",,True
Milan,Isola Pepe Verde IPV,45.4861111,9.187222199999997,"Via Guglielmo Pepe, 10, Milano",,True
Milan,Arredatutto.com,45.450689,9.152837200000002,"Via Savona, 94, Milano",,True
Milan,Botanical Garden Città Studi,45.475341,9.234534599999998,"Via Camillo Golgi, 18, Milano",,True
Milan,Villa Mirabello,45.4969854,9.1979863,"Via Villa Mirabello, 6, Milano",,True
Milan,Piante e Fiori Capoverde,45.4906681,9.2251843,"Via Ruggero Leoncavallo, 16, Milano",,True
Milan,Agricultural Ticinello Park,45.4275149,9.1821997,"Via Marcello Dudovich, 10, Milano",,True
Milan,Naviglio Martesana,45.498715,9.214358400000002,"Via Tofane, 49, Milano",,True
Milan,Orti di via Padova,45.4933403,9.231336200000001,"Via Carlo Esterle, Milano",,True
Milan,Comunemente Verde,45.5058987,9.1862922,"Via Ausonio Zubiani, 1, Milano",,True
Milan,Milanosport - Centro Sportivo Cambini Fossati,45.49451099999999,9.2317026,"Via Leonardo Cambini, 4, Milano",,True
Milan,Eastriver,45.5018574,9.2178352,"Via Jean Jaures, 22, Milano",,True
Milan,Paesaggiostudio,45.5037467,9.1662302,"Via Don Giovanni Verità, 14, Milano",,True
Milan,Cascina Bianca,45.4288449,9.154497400000002,"Via Agostino de Pretis, 79, Milano",,True
Milan,"Ristorante Pizzeria Oasi, carne, pesce, pizza, pizza senza glutine, pizza senza lattosio e pizze Vegane",45.49478389999999,9.140692099999999,"Viale Certosa, 119, Milano",,True
Milan,Giardini pubblici - Tirana,45.4436463,9.129617500000002,"Piazza Tirana, Milano",,True
Milan,La Giardineria Milanese,45.49786699999999,9.141265999999998,"Via Panfilo Nuvolone, 32, Milano",,True
Milan,Parco Monte Stella,45.4902522,9.132444399999999,"Via Enrico Terzaghi, Milano",,True
Milan,Parco Nord Milano,45.52024429999999,9.1995995,"Via Adriatico, Milano",,True
Milan,Oasi dei nuovi nati,45.441478,9.082861,"Via Amerigo Vespucci, Cesano Boscone",,True
Milan,Park Ex Paolo Pini,45.5215291,9.1634847,"Via Ippocrate, Milano",,True
Milan,Parco Pertini,45.4053822,9.228380800000004,"Via Unica Poasco, 15, Poasco",,True
Milan,Laghetto Oxy.gen,45.530932,9.1868599,"Via Papa Giovanni XXIII, Bresso",,True
New York,The Battery,40.70293119999999,-74.0153603,New York,,True
New York,Jackson Square,40.7389679,-74.0028458,"8 Ave &, Greenwich Avenue, New York",,True
New York,Pier 63 at Hudson River Park,40.7495244,-74.0092627,"West 23rd Street and, 12th Avenue, New York",,True
New York,Brooklyn Bridge Park Pier 5,40.6948689,-74.0017282,334 Furman Street,,True
New York,Brooklyn War Memorial,40.6984595,-73.99067029999999,"195 Cadman Plaza West, Brooklyn",,True
New York,La Lanterna di Vittorio,40.7306651,-74.0000496,"129 MacDougal Street, New York",,True
New York,Calvary Cemetery,40.73522250000001,-73.9135952,"49-02 Laurel Hill Boulevard, Woodside",,True
New York,Juliette Restaurant,40.7170111,-73.95906939999999,"135 North 5th Street, Brooklyn",,True
New York,One Brooklyn Bridge Park,40.69329700000001,-73.9995757,"360 Furman Street, Brooklyn",,True
New York,Pier 25 at Hudson River Park,40.7202901,-74.0141132,"West Street, New York",,True
New York,Aurora Brooklyn,40.7156519,-73.9647449,"70 Grand Street, Brooklyn",,True
New York,Battery Park City Parks,40.7067678,-74.0171771,"75 Battery Place, New York",,True
New York,BOTTINO | modern italian dining | garden | events,40.7484846,-74.0033127,"246 10th Avenue, New York",,True
New York,Overpeck County Park,40.8643266,-73.9969858,"40 Fort Lee Road, Leonia",,True
New York,West 4th Street Courts,40.7312111,-74.0008609,"272 6th Avenue, New York",,True
New York,"Fort Lee Historic Park, Palisades Interstate Park Commission",40.85027849999999,-73.9624813,"Hudson Terrace, Fort Lee",,True
New York,Weehawken Waterfront Park and Recreation Center,40.7644673,-74.0190853,"1 Port Imperial Boulevard, Weehawken",,True
New York,The Wyckoff House Museum,40.6443479,-73.92082839999999,"5816 Clarendon Road, Brooklyn",,True
New York,Conservancy-Historic Battery,40.7084692,-74.01059479999999,"120 Broadway, New York",,True
New York,TCC Group Inc,40.7474652,-73.9929135,"333 7th Avenue 9th floor, New York",,True
Portland,Portland Japanese Garden,45.5188634,-122.7080354,"611 Southwest Kingston Avenue, Portland",,True
Portland,Pittock Mansion,45.5252061,-122.7162689,"3229 Northwest Pittock Drive, Portland",,True
Portland,Lan Su Chinese Garden,45.5256321,-122.6729955,"239 Northwest Everett Street, Portland",,True
Portland,The Grotto,45.5532151,-122.5735354,"8840 Northeast Skidmore Street, Portland",,True
Portland,International Rose Test Garden,45.51895239999999,-122.7052686,"400 Southwest Kingston Avenue, Portland",,True
Portland,Off-Leash Dog Park,45.5676795,-122.6222476,"4050 Northeast Holman Street, Portland",,True
Portland,Macleay Park,45.5283348,-122.7214672,"2960 Northwest Upshur Street, Portland",,True
Portland,Director Park,45.5186898,-122.6814688,"815 Southwest Park Avenue, Portland",,True
Portland,Salmon Street Springs,45.5153495,-122.6732909,"1000 Southwest Naito Parkway, Portland",,True
Portland,Marquam Nature Park,45.502804,-122.6917404,"Main entrance:, Southwest Marquam Street, Portland",,True
Portland,Leach Botanical Garden,45.475173,-122.5356262,"6704 Southeast 122nd Avenue, Portland",,True
Portland,Esther Short Park and Playground,45.6267119,-122.6748986,"605 Esther Street, Vancouver",,True
Portland,Powell Butte Nature Park,45.49069609999999,-122.4969916,"16160 Southeast Powell Boulevard, Portland",,True
Portland,Rocky Butte Natural Area,45.5464192,-122.5659452,"3102 Northeast Rocky Butte Road, Portland",,True
Portland,Duniway Park Lilac Garden,45.5027273,-122.6870355,"&, SW 6th Ave & SW Sheridan St, Portland",,True
Portland,Central Parking,45.5140573,-122.6759259,"123 Southwest Jefferson Street, Portland",,True
Portland,Smith and Bybee Wetlands Natural Area,45.6166313,-122.7185057,"5300 North Marine Drive, Portland",,True
Portland,Mill Ends Park - Worlds Smallest Park,45.5161981,-122.6732319,"56 Southwest Taylor Street, Portland",,True
Portland,Clinton City Park,45.5035462,-122.604988,"5576 Southeast Division Street, Portland",,True
Portland,Ladd Circle Park & Rose Gardens,45.50869269999999,-122.6493549,"1988 Southeast Mulberry Avenue, Portland",,True
Portland,Mount Talbert Nature Park,45.4205094,-122.5524356,"10945 Southeast Mather Road, Clackamas",,True
Portland,April Hill City Park,45.47092920000001,-122.7353035,Portland,,True
Portland,Commonwealth Lake Park,45.51089409999999,-122.8102405,"SW Butner Rd &, Southwest Huntington Avenue, Portland",,True
Portland,Lake Oswego Parks & Recreation,45.4193373,-122.6676796,"380 A Avenue, Lake Oswego",,True
Portland,Westlake Park,45.4253979,-122.726774,"14165 Bunick Drive, Lake Oswego",,True
Portland,Tualatin Hills Nature Park,45.4982312,-122.8396247,"15655 Southwest Millikan Way, Beaverton",,True
Portland,Fountains Statues and Pottery,45.50444,-122.574417,"8560 Southeast Division Street, Portland",,True
Portland,Sellwood Off-Leash Dog Park,45.4665078,-122.6634583,"7987 Southeast Grand Avenue, Portland",,True
Portland,Tualatin Hills Nature Center,45.49809,-122.839507,"15655 Southwest Millikan Way, Beaverton",,True
Portland,Fort Vancouver National Historic Site,45.6224737,-122.66321,"1001 East 5th Street, Vancouver",,True
Portland,Mary S. Young Park,45.3810341,-122.6304188,"19900 Willamette Drive, West Linn",,True
Houston,Forest Park Lawndale Funeral Home & Forest Park Lawndale,29.7202661,-95.30510459999999,"6900 Lawndale Street, Houston",,True
Houston,Lakeview RV Resort by QRV,29.652502,-95.445126,"11991 South Main Street, Houston",,True
Houston,"Bayou Bend Collection and Gardens, Museum of Fine Arts, Houston",29.7606593,-95.42169270000001,"6003 Memorial Drive, Houston",,True
Houston,Houston Sports Park,29.6380273,-95.3953253,"12131 Kirby Drive, Houston",,True
Houston,Lee and Joe Jamail Skatepark,29.76213570000001,-95.3769654,"103 Sabine Street, Houston",,True
Houston,Tom Bass Regional Park Section III,29.58974049999999,-95.3564044,"15108 Cullen Boulevard, Houston",,True
Houston,Bane Park,29.8721298,-95.5415629,"9600 West Little York Road, Houston",,True
Houston,Jetstream RV Resort at Pearland,29.5952947,-95.38087790000002,"2850 South Sam Houston Parkway East, Houston",,True
