system:index,city,greenSpaceArea_m2,.geo
00000000000000000562,Midvale,1.6289818523041632E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009dd,Midway,5.80207645747559E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000361,Midwest City,1.461008144060554E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675,Milford,8.513181565437037E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c41,Milford,1.671196777918049E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001010,Milford,1.6979690224413654E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001209,Milford,7.702756760461338E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e,Milford Mill,1.8062346451071718E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d0,Milford city,1.2015752316053706E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000943,Mililani Mauka,1.1770573993011871E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000720,Mililani Town,9.830180720091502E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000995,Mill Creek,409492.2257080078,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007cd,Mill Creek East,116352.39978299609,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000db8,Mill Valley,1.2019114909292732E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c5,Millbrae,8.377827282368603E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000be7,Millbrook,2.698583061686496E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000937,Millburn,7.067703625014852E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e02,Millbury,8.500256479680046E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000314,Millcreek,9215471.53073917,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000039e,Millcreek,80100.47975158691,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba3,Milledgeville,2.0520137784317306E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fe7,Miller Place,9.230478897294503E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117f,Millington,2.309217924541046E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a9,Millis,1.1282710527540094E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011cd,Millstone,1.601009265364903E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000071b,Millville,1.9420206968882185E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260,Milpitas,3.356382288792911E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a6,Milton,2.4756999016130883E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006df,Milton,6.973850984646259E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a81,Milton,17091.597198486328,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001145,Milton,3415.2503967285156,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011fc,Milton,2.1246900329030555E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b5,Milton,1.9394615941855207E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,Milwaukee,923666.2701874671,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000096c,Milwaukie,947987.5003504436,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ff9,Minden,3.012775282784424E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000097f,Mineola,8.07893965340961E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d0d,Mineral Wells,4.7776435325203516E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,Minneapolis,1556.8662948608398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000103b,Minnehaha,3769756.5435426305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d86,Minneola,1.2340194954116936E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a6,Minnetonka,70.7134017944336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2c,Minooka,9555556.840590594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000403,Minot,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
