system:index,city,greenSpaceArea_m2,.geo
000000000000000006e4,Allen Park,2175059.9818143058,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7,Allendale,730.7545776367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,Allentown,5.676372741533594E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000093e,Alliance,3.1991799833955575E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d6,Allison Park,1.776308977156046E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dd1,Allouez,135138.82598114014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000132d,Alma,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a5,Aloha,4722089.662289668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001211,Alpena,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fb,Alpharetta,1.796666976727233E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c72,Alpine,1.697035812009078E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011fb,Alpine,1.5426195283102628E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a77,Alsip,4331683.632798378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000475,Altadena,1.1010331815785493E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009c8,Altamont,3.2156634301360037E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042f,Altamonte Springs,1.6659770247220775E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000263,Alton,1.6442696488326928E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000abf,Alton,2.7087734508100905E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8,Altoona,273555.2828608793,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f0,Altoona,2.9750708667290676E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c8,Altoona,39230.40677642822,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a96,Altus,3168945.030054516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000feb,Alum Rock,5.4003724145996206E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000724,Alvin,1.6824153941343164E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,Amarillo,7426809.544974682,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f64,Amelia,2.843266475355447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000093c,American Canyon,3.1333551227937657E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b6,American Fork,2.2582310724654403E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5f,Americus,2.321207528067544E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f3,Ames,5.110146044483669E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b73,Amesbury,4.377248911904861E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162,Amherst,146.31057739257812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f07,Amherst,7.046294716646221E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fff,Amherst,8971582.94576509,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e78,Amity,1.3743847136912784E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000131b,Amityville,1.100283654451973E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b19,Ammon,1.602139541534072E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae8,Amsterdam,234586.3210575777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000132e,Anaconda,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b3b,Anacortes,5731888.092023125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,Anaheim,3.440424759216021E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,Anchorage,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000142d,Andalusia,3.102658384875371E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000236,Anderson,2.167258304936138E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ad,Anderson,1.5948063268169874E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001089,Anderson,7.159349157264143E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d7b,Anderson Creek,2.4848534233737373E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000540,Andover,2823699.8816574686,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f4,Andover,5347.4902420043945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbe,Andover,3.671539714308272E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e7b,Andrews,179061.30242156982,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a21,Angleton,1.7390500641380778E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001357,Angola,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da,Ankeny,4.294493081260419E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,Ann Arbor,96002.21803050322,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aaa,Anna,9.876876186275986E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487,Annandale,1.4427237835435107E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b2,Annapolis,1.5316407965962762E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f0a,Annapolis Neck,1.363588992649951E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258,Anniston,3.249203897910973E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b20,Anoka,7811.297340393066,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6c,Ansonia,2.32075098479864E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040d,Antelope,3.955206741348961E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d2,Anthem,1288294.353981377,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001469,Anthony,1.8181609457108386E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,Antioch,4.6432235201725654E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d51,Antioch,2701418.4138127044,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c8a,Antrim,4.199969707310964E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004eb,Apache Junction,3544728.650604697,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000302,Apex,2.4318334582609746E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000076a,Apollo Beach,1.0840610199770863E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000038d,Apopka,1.834397266280147E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000287,Apple Valley,3130136.225109713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000383,Apple Valley,639.5106582641602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,Appleton,173975.10815154432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b0,Arab,3.396396094365483E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001464,Aransas Pass,3.270940485254635E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009de,Arbutus,1.431131170320857E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037c,Arcadia,5.65117908334793E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e21,Arcadia,10006.604209899902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ab6,Arcata,1.2204082737844923E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fdf,Archdale,2.8314301499853224E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012a9,Arden Hills,352.7750244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6,Arden-Arcade,4.023315082371176E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000804,Ardmore,1.5330913353514624E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dd5,Ardmore,1.0645681313269676E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b7,Arizona City,6476839.215526296,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011d1,Arkadelphia,3.043696554811418E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fc8,Arkansas City,6.3525522278359376E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,Arlington,7.054425567117958E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,Arlington,8.453258824532312E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042b,Arlington,7852456.489571216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009d3,Arlington,130368.13302028882,"{""type"":""MultiPoint"",""coordinates"":[]}"
