population_city,greenspacearea_km2,AQI,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_copd_rate,adjusted_depression_rate,life_expectancy
5.580400677257943,-0.01253964060393093,0.014226894035019222,1.682852050568575,1.3892441369444952,1.628696389753095,1.211327414168865,77.5
5.553693028226373,0.5162640306292916,-0.07816151202538488,1.1174870205799472,0.6242987971502467,0.5876058974616256,0.6118604846335269,76.5
5.520049362879142,0.08007258086777667,-0.9466125289931865,1.6547719800371825,1.3644921252061333,1.6022389283499139,1.1879643913418143,77.5
5.394722723244432,-0.529780549346631,1.8065619716068653,0.03225871053131974,-0.17191779293102716,-0.24380977009349744,0.0023076640071779723,79.0
5.314360603173321,-0.27165564193916053,2.5210323118073252,0.012964822240119366,-0.1876963316162378,-0.25831790169357866,-0.015645940731603334,79.0
5.285340948703197,-0.876002694777129,-1.2730515637399484,1.0135128741358883,0.5427164114152536,0.5088414178916146,0.5302275193129078,76.5
5.285340948703197,-0.876002694777129,-1.2730515637399484,1.0135128741358883,0.5427164114152536,1.2468984889122243,1.0293907791248802,76.5
5.2237140451169175,0.1278653324952691,0.8642002297907411,1.516894011523057,1.242955496895054,1.472328249306809,1.073247937117046,77.5
5.210798704391204,0.103418348943879,-0.8911794853569437,0.9846311667903183,0.5200546375999738,0.48696239578881956,0.5075516956127375,76.5
5.210798704391204,0.103418348943879,-0.8911794853569437,0.9846311667903183,0.5200546375999738,-0.7008445483736677,-0.8201899169073013,76.5
5.20147095831152,-0.18686205034199654,0.06965993767126202,-0.014138497026089932,-0.20986142167404032,-0.2786983722746359,-0.04086648072179664,79.0
5.181220979642808,-0.08841338685126335,-0.21982373465133853,0.9731711524318063,0.5110626396476012,0.4782809870186272,0.49855412278625233,76.5
5.083319507968874,0.18061355376155688,-0.6016958130343414,1.4515716810002226,1.185375189535408,1.4107805748933187,1.0188988179645522,77.5
5.029106966651061,-0.5152445050728315,0.309869793428313,1.426347839571757,1.1631408857281615,1.387014295165236,0.99791221885967,77.5
5.029106966651061,-0.5152445050728315,0.309869793428313,1.426347839571757,1.1631408857281615,-0.40669411531836147,-0.19299442455519128,77.5
5.017865836760161,-0.9598051924465338,-1.1190708869726083,1.4211176018637979,1.158530537438716,1.3820862871627906,0.9935605858099819,77.5
4.912390554166827,-0.7074066055105601,1.8065619716068653,-0.08354290074026995,-0.26662033166668975,-0.3308873456693745,-0.10544958665714013,79.0
4.912390554166827,-0.7074066055105601,1.8065619716068653,-0.08354290074026995,-0.26662033166668975,-0.9438895889908916,-0.9895787532527438,79.0
4.901229148601395,-0.24753902303035677,2.37321086211068,-0.08622260744738078,-0.2688117953729684,-0.3329023639471593,-0.10794314287086006,79.0
4.8319487097702485,-0.5379295438637611,0.4330543348421869,1.334614663317943,1.0822799543821038,1.3005819278599835,0.9215888959385358,77.5
4.792245995687496,1.514846223620308,-0.657128856670586,0.8224611522830966,0.39280938355698003,0.3641122716822957,0.38022755184171714,76.5
4.757007843830918,-0.8225937442256687,1.8065619716068653,-0.12084824625569411,-0.29712863712054205,-0.3589392786937293,-0.1401634513752837,79.0
4.7554133573215704,0.6302398323215833,-0.8049503063672329,1.299004534242463,1.0508903490071668,1.2670295329497354,0.8919607560257631,77.5
4.657033539694832,-0.4063342945668638,0.9011555922149006,-0.14485076204653338,-0.3167578906039334,-0.3769880852676352,-0.16249859060388624,79.0
4.632398723125414,-0.8253467829138882,2.4532808140296973,-0.15076525756437092,-0.32159476406993515,-0.38143551846647467,-0.16800222538988213,79.0
4.585361371099665,0.9530060881284503,-0.7618357168723766,1.2198832787028813,0.9811465695647357,1.1924803055085433,0.8261307326570722,77.5
4.557856478813421,-0.39543226136151405,0.9565886358511452,0.7316459441590535,0.32155204129290155,0.2953162021826398,0.30892603132994656,76.5
4.5410346461398055,-0.9622278664921671,2.8474713465540904,-0.17270057103829453,-0.3395334598370565,-0.3979298823689379,-0.18841376411076155,79.0
4.535055321729752,-0.9287509160434168,0.16820757080236112,0.7228115395592303,0.3146202045964645,0.28862379542177735,0.3019898970216602,76.5
4.389398979100862,0.3544954773095074,-0.36764518434798543,0.6663763745107185,0.2703388561895037,0.24587195223271152,0.25768109498934444,76.5
4.37520804916767,-1.1741017239375482,-1.0636378433363654,1.39913740528793,1.1554477402385415,0.7292320217024604,1.0721245891195466,77.7
4.322669718684671,-0.38276828339570396,0.3283474746403928,0.6405218407692799,0.2500523271163648,0.22628613244657803,0.23738198863956672,76.5
4.322669718684671,-0.38276828339570396,0.3283474746403928,0.6405218407692799,0.2500523271163648,0.7147714529045732,1.331901349149559,76.5
4.322669718684671,-0.38276828339570396,0.3283474746403928,0.6405218407692799,0.2500523271163648,-0.900755299545542,-1.009993374384389,76.5
4.294686480445623,1.0019000552312305,0.494646605549123,1.0846389759849628,0.8619314641511776,1.065051105672333,0.7136055262800166,77.5
4.287511291153559,-0.2694532109885848,1.5417152075670395,-0.2335681948141049,-0.3893109925939837,-0.4436995832501501,-0.24505311239382604,79.0
4.287511291153559,-0.2694532109885848,1.5417152075670395,-0.2335681948141049,-0.3893109925939837,0.24787953008446967,0.027939047706603593,79.0
4.253867625806328,-0.40325089123605784,1.4185306661531656,1.3370085892826433,1.1003488861668744,0.6836357026991696,1.0184495971098533,77.7
4.253867625806328,-0.40325089123605784,1.4185306661531656,1.3370085892826433,1.1003488861668744,0.05210680711043144,-0.13115250405452003,77.7
4.253867625806328,-0.40325089123605784,1.4185306661531656,1.3370085892826433,1.1003488861668744,-0.7193556513024667,-0.7433384967562855,77.7
