city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,population_city,population_state
Clarksville,Arkansas,United States,176.42,0.11524546472768808,0.061320447809652213,0.14421090238651876,0.06902402165508591,0.2274094999172027,9453.0,3067732
Eunice,Louisiana,United States,113.23,0.0827644892625284,0.035293585196739044,0.09473541289651005,0.04293020889427907,0.15087491683518267,9440.0,4573749
Madeira,Ohio,United States,205.17,0.030471116631815804,0.014155873080922303,0.03902862182762759,0.016235266866820496,0.06022244310697454,9426.0,11785935
Lugoff,South Carolina,United States,285.1,0.0613755698043474,0.028408120880869366,0.0832954161630429,0.030161708589565007,0.13116836061043385,9423.0,5373555
Fishersville,Virginia,United States,151.25,0.03805253463348547,0.013296766363405434,0.05383568820305614,0.019566786274604744,0.08388854226018386,9422.0,8715698
Rochelle,Illinois,United States,45.75,0.02506259716874259,0.00960482765748219,0.037518858037039804,0.011705883707556418,0.05762896594489314,9417.0,12549689
Cusseta,Georgia,United States,291.78,0.03154110437658052,0.010911517189735964,0.041855897970002796,0.014832843679797323,0.06444614840187803,9402.0,11029227
Newmarket,New Hampshire,United States,2.32,0.20247436974610108,0.0771011672874226,0.3801422769736401,0.11464608353173274,0.5296514970179466,9400.0,1402054
Denham Springs,Louisiana,United States,150.04,0.08235242030115776,0.03511786501620444,0.09426374293823295,0.04271646738813171,0.1501237387534821,9393.0,4573749
Manchester,New York,United States,4.0,0.01444617953222733,0.005519304472445657,0.024332933630695202,0.007535050453686679,0.03729130065295892,9393.0,19571216
Oakville,Connecticut,United States,154.95,0.07941062309381684,0.02672971953811482,0.13935785817444327,0.04152189442813952,0.20345728269788366,9387.0,3617176
Florence,Oregon,United States,249.94,0.06849541191649748,0.028373503965409965,0.12590742384650672,0.038570231952979164,0.17467438378705508,9384.0,4233358
Middlesborough,Kentucky,United States,345.07,0.07815445519529385,0.036485899507617284,0.07649600521767487,0.04643659937333108,0.15237009169374263,9383.0,4526154
Ashland,New Jersey,United States,68.59,0.02938865276028295,0.01080613692560232,0.0515910875399961,0.013532919140473935,0.07826874876020373,9383.0,9290841
Helena Valley Southeast,Montana,United States,1.41,0.2523869803639086,0.13239972740401762,0.5229789232458696,0.13570972058911804,0.6355186915392845,9374.0,1132812
Locust Grove,Georgia,United States,180.93,0.03142368907630607,0.010870897842613993,0.04170008469315211,0.014777626754803395,0.06420624038293889,9367.0,11029227
Burlington,Washington,United States,273.74,0.03798134618732145,0.012101312192174972,0.07033138868125455,0.018930765607560848,0.09489345798220375,9361.0,7812880
Hastings,New York,United States,7.13,0.014396964399146174,0.005500501348510997,0.02425003637995718,0.00750938010188023,0.037164256937330824,9361.0,19571216
Diamondhead,Mississippi,United States,133.81,0.1257683633308274,0.05763056648830319,0.12672356609030203,0.06941140052182374,0.22893026135408837,9360.0,2939690
Southside,Alabama,United States,292.88,0.07016025156661448,0.029676137738359133,0.0840823902586842,0.04121685796994324,0.134092177928882,9358.0,5108468
Canal Winchester,Ohio,United States,139.52,0.030248062627190802,0.014052249566962655,0.03874292535976144,0.016116421819736833,0.05978160408995977,9357.0,11785935
Sutton,Massachusetts,United States,123.49,0.03635136349178214,0.014299984903017237,0.07136627979636641,0.021383154995165965,0.10557932778863195,9357.0,7001399
Warren,Pennsylvania,United States,1.13,0.024101052309333595,0.011256778922922277,0.036656690338746904,0.01334938526115783,0.05541798854361737,9353.0,12961683
Barrington,New Hampshire,United States,102.55,0.20116044032540828,0.07660082992523826,0.3776753962400878,0.11390210362796299,0.5262143968777236,9339.0,1402054
Meadowbrook,Alabama,United States,241.35,0.07001030445918424,0.029612713635477406,0.08390268863385265,0.041128768938163064,0.13380559494549052,9338.0,5108468
Crestline,California,United States,124.98,0.00673199539907322,0.0023717706210257964,0.01312858889214279,0.003473805455037782,0.018926250410205847,9335.0,38965193
Moore,Pennsylvania,United States,83.4,0.024034054836860306,0.011225486690270082,0.03655478999139232,0.013312275882692086,0.055263934475175795,9327.0,12961683
Fort Stewart,Georgia,United States,247.99,0.031279435993111754,0.010820994073292716,0.04150865695302128,0.014709788818382283,0.0639114962453851,9324.0,11029227
Riverdale,Utah,United States,141.23,0.0847445412662308,0.018801843560674998,0.15232218189010613,0.0419635349035355,0.214177522299863,9313.0,3417734
Skidaway Island,Georgia,United States,69.0,0.031172084861432265,0.010783856384495487,0.041366199099900657,0.014659304772673552,0.06369215177092646,9292.0,11029227
