city,country,population_city,greenspacearea_km2,AQI,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,adjusted_copd_rate,adjusted_depression_rate
Town 'n' Country,United States,5.580400677257943,-0.01253964060393093,0.014226894035019222,1.682852050568575,1.3892441369444952,2.1198511760514016,1.7720709092570552,1.960849126396658,1.628696389753095,1.211327414168865
Atascocita,United States,5.553693028226373,0.5162640306292916,-0.07816151202538488,1.1174870205799472,0.6242987971502467,0.8832692707955988,0.8958865748678169,0.9761702735677138,0.5876058974616256,0.6118604846335269
Fort Myers,United States,5.520049362879142,0.08007258086777667,-0.9466125289931865,1.6547719800371825,1.3644921252061333,2.087963517183549,1.7432257877646753,1.9301071180072602,1.6022389283499139,1.1879643913418143
Citrus Heights,United States,5.394722723244432,-0.529780549346631,1.8065619716068653,0.03225871053131974,-0.17191779293102716,0.5009357103441793,0.05636970849979152,0.42093064532438546,-0.24380977009349744,0.0023076640071779723
San Ramon,United States,5.314360603173321,-0.27165564193916053,2.5210323118073252,0.012964822240119366,-0.1876963316162378,0.4760697239139906,0.036783121830893134,0.39671701243660173,-0.25831790169357866,-0.015645940731603334
Mission,United States,5.285340948703197,-0.876002694777129,-1.2730515637399484,1.0135128741358883,0.5427164114152536,0.7876521518635257,0.8002371384663365,0.876152342090895,0.5088414178916146,0.5302275193129078
Mission,United States,5.285340948703197,-0.876002694777129,-1.2730515637399484,1.0135128741358883,0.5427164114152536,0.7876521518635257,0.8002371384663365,0.876152342090895,1.2468984889122243,1.0293907791248802
Melbourne,United States,5.2237140451169175,0.1278653324952691,0.8642002297907411,1.516894011523057,1.242955496895054,1.931389636058315,1.6015912876495295,1.7791585774743808,1.472328249306809,1.073247937117046
Bryan,United States,5.210798704391204,0.103418348943879,-0.8911794853569437,0.9846311667903183,0.5200546375999738,0.76109184104906,0.7736678505770364,0.8483695833473338,0.48696239578881956,0.5075516956127375
Bryan,United States,5.210798704391204,0.103418348943879,-0.8911794853569437,0.9846311667903183,0.5200546375999738,0.76109184104906,0.7736678505770364,0.8483695833473338,-0.7008445483736677,-0.8201899169073013
Napa,United States,5.20147095831152,-0.18686205034199654,0.06965993767126202,-0.014138497026089932,-0.20986142167404032,0.44113893345253286,0.009268631034105277,0.36270262337995457,-0.2786983722746359,-0.04086648072179664
Baytown,United States,5.181220979642808,-0.08841338685126335,-0.21982373465133853,0.9731711524318063,0.5110626396476012,0.7505529369718773,0.7631253844733705,0.8373456223913333,0.4782809870186272,0.49855412278625233
Pine Hills,United States,5.083319507968874,0.18061355376155688,-0.6016958130343414,1.4515716810002226,1.185375189535408,1.857209758559919,1.5344892282729445,1.707643812911991,1.4107805748933187,1.0188988179645522
Largo,United States,5.029106966651061,-0.5152445050728315,0.309869793428313,1.426347839571757,1.1631408857281615,1.8285656264197077,1.508578154805552,1.6800287987709197,1.387014295165236,0.99791221885967
Largo,United States,5.029106966651061,-0.5152445050728315,0.309869793428313,1.426347839571757,1.1631408857281615,1.8285656264197077,1.508578154805552,1.6800287987709197,-0.40669411531836147,-0.19299442455519128
Miami Beach,United States,5.017865836760161,-0.9598051924465338,-1.1190708869726083,1.4211176018637979,1.158530537438716,1.8226261813729887,1.5032054175130523,1.6743027443681393,1.3820862871627906,0.9935605858099819
Folsom,United States,4.912390554166827,-0.7074066055105601,1.8065619716068653,-0.08354290074026995,-0.26662033166668975,0.3516904544883794,-0.06118867378873967,0.2756008050752899,-0.3308873456693745,-0.10544958665714013
Folsom,United States,4.912390554166827,-0.7074066055105601,1.8065619716068653,-0.08354290074026995,-0.26662033166668975,0.3516904544883794,-0.06118867378873967,0.2756008050752899,-0.9438895889908916,-0.9895787532527438
Madera,United States,4.901229148601395,-0.24753902303035677,2.37321086211068,-0.08622260744738078,-0.2688117953729684,0.3482368452619629,-0.06390903304831391,0.2722378005075423,-0.3329023639471593,-0.10794314287086006
Boynton Beach,United States,4.8319487097702485,-0.5379295438637611,0.4330543348421869,1.334614663317943,1.0822799543821038,1.7243936576215637,1.4143456773278176,1.5795994899902333,1.3005819278599835,0.9215888959385358
Texarkana,United States,4.792245995687496,1.514846223620308,-0.657128856670586,0.8224611522830966,0.39280938355698003,0.6119564059945792,0.6244820094873849,0.6923701358567517,0.3641122716822957,0.38022755184171714
Rancho Cordova,United States,4.757007843830918,-0.8225937442256687,1.8065619716068653,-0.12084824625569411,-0.29712863712054205,0.3036112803292121,-0.09905996090946298,0.22878297720000262,-0.3589392786937293,-0.1401634513752837
The Villages,United States,4.7554133573215704,0.6302398323215833,-0.8049503063672329,1.299004534242463,1.0508903490071668,1.6839548828353839,1.3777653383150248,1.5406135876734273,1.2670295329497354,0.8919607560257631
Davis,United States,4.657033539694832,-0.4063342945668638,0.9011555922149006,-0.14485076204653338,-0.3167578906039334,0.2726768091154643,-0.1234266074201772,0.1986600648574622,-0.3769880852676352,-0.16249859060388624
Alameda,United States,4.632398723125414,-0.8253467829138882,2.4532808140296973,-0.15076525756437092,-0.32159476406993515,0.2650542001800203,-0.129430828928796,0.19123743334721963,-0.38143551846647467,-0.16800222538988213
North Port,United States,4.585361371099665,0.9530060881284503,-0.7618357168723766,1.2198832787028813,0.9811465695647357,1.5941049801073433,1.2964883975709842,1.4539917859632756,1.1924803055085433,0.8261307326570722
Flower Mound,United States,4.557856478813421,-0.39543226136151405,0.9565886358511452,0.7316459441590535,0.32155204129290155,0.5284405623640698,0.5409379384771825,0.6050104452620263,0.2953162021826398,0.30892603132994656
