city,lat,lng
Rock Hill,34.9415,-81.0241
Fremont,37.5265,-121.9843
Fargo,46.8651,-96.8292
Gulfport,30.4274,-89.0704
Bremerton,47.5436,-122.7121
Green Bay,44.5148,-87.9895
Enterprise,36.0091,-115.2278
Hialeah,25.8696,-80.3045
Deltona,28.905,-81.2137
San Bernardino,34.1416,-117.2943
Gainesville,29.6804,-82.3459
Spring Valley,36.0952,-115.2636
Tacoma,47.2431,-122.4531
Roanoke,37.2785,-79.9581
Babylon,40.6925,-73.3586
Brownsville,25.9975,-97.458
College Station,30.5852,-96.2959
Olympia,47.0417,-122.8959
Clarksville,36.5692,-87.3413
Yonkers,40.9466,-73.8673
Moreno Valley,33.9244,-117.2045
Thousand Oaks,34.1914,-118.8756
Portland,43.6773,-70.2715
Fontana,34.0968,-117.4599
Hickory,35.741,-81.3223
Amarillo,35.1984,-101.8316
Sioux Falls,43.5396,-96.7311
Huntington,40.8521,-73.3823
Evansville,37.9881,-87.5341
Huntington,38.4109,-82.4345
Waterbury,41.5582,-73.0361
Frisco,33.156,-96.8216
Lorain,41.4409,-82.184
Kalamazoo,42.2749,-85.5882
Galveston,29.2484,-94.8913
Spartanburg,34.9442,-81.9251
Santa Barbara,34.4285,-119.7202
Sunrise Manor,36.1783,-115.0487
Huntington Beach,33.696,-118.0018
Grand Prairie,32.6871,-97.0208
Overland Park,38.887,-94.687
McKinney,33.2016,-96.667
Waco,31.5599,-97.1882
Hagerstown,39.6401,-77.7217
Glendale,34.1819,-118.2468
Nampa,43.5844,-116.5638
Peoria,33.7843,-112.2989
Cedar Rapids,41.9662,-91.6783
Vancouver,45.6366,-122.5967
Paradise,36.0872,-115.1355
Ocala,29.178,-82.1511
Erie,42.1167,-80.0733
Newport News,37.1051,-76.5185
Frederick,39.4337,-77.4141
Murfreesboro,35.849,-86.4121
Fort Lauderdale,26.1412,-80.1464
Aurora,41.7638,-88.2902
Tempe,33.3881,-111.9319
Danbury,41.4015,-73.4709
Spring Hill,28.4798,-82.53
Gastonia,35.2494,-81.1854
Salinas,36.6883,-121.6317
Fredericksburg,38.2992,-77.4872
Ontario,34.0393,-117.6064
Elk Grove,38.4161,-121.3842
Gainesville,34.2902,-83.8294
Cary,35.7819,-78.8195
Rancho Cucamonga,34.1247,-117.5667
Oceanside,33.2247,-117.3083
Garden Grove,33.7787,-117.9601
Lancaster,34.6935,-118.1753
Hemet,33.7341,-116.9969
Pembroke Pines,26.0128,-80.3382
Panama City,30.1995,-85.6003
Vallejo,38.1125,-122.2342
Manchester,42.9848,-71.4447
Medford,42.3372,-122.854
Mauldin,34.7821,-82.3032
Santa Cruz,36.9789,-122.0346
Palmdale,34.5944,-118.1057
Norwich,41.5495,-72.0882
Muskegon,43.2281,-86.2562
Leesburg,28.7672,-81.8962
High Point,35.991,-79.9937
Tuscaloosa,33.2348,-87.5268
Visalia,36.3276,-119.3269
Marysville,48.0809,-122.1561
Merced,37.3057,-120.4779
Hayward,37.6328,-122.0766
Lafayette,40.3991,-86.8593
Springfield,39.7709,-89.654
Corona,33.8616,-117.5649
Paterson,40.9147,-74.1624
Alexandria,38.8185,-77.0861
Macon,32.8065,-83.6974
Binghamton,42.1014,-75.9093
Lakewood,39.6977,-105.1172
Kansas City,39.1235,-94.7443
Odessa,31.8801,-102.3448
Sunnyvale,37.3836,-122.0255
New Bedford,41.6697,-70.9428
Hollywood,26.0293,-80.1679
South Lyon,42.4614,-83.6526
