system:index,city,greenSpaceArea_m2,.geo
0000000000000000118e,Riverdale,2831139.8177326275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001358,Riverdale,3.4290537898464814E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000559,Riverhead,7.371051968064785E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,Riverside,1.8420036107527796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d,Riverside,1.2113329092805983E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001379,Riverside,1099271.7727772426,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013bb,Riverside,1.3666699258846363E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000447,Riverton,1.5808380288197111E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000113d,Riverton,72.97156524658203,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c9,Riverview,1.640337914282695E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f63,Riverview,1.0832905487598164E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000051a,Riviera Beach,4.131037245277395E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fa3,Riviera Beach,1.0279645367755076E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,Roanoke,2.261355358153846E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001301,Roanoke,5.623912124568365E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cf9,Roanoke Rapids,2.4043459035460114E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d77,Robbinsdale,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc6,Robbinsville,1.4355353388449982E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f20,Robertsville,1.6114983918220776E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccc,Robinson,6662393.822195498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f50,Robinson,4.664091766844938E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001203,Robstown,5689411.598262504,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001333,Rochelle,4.574553595251156E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Rochester,145.753173828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173,Rochester,1048428.8399086747,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f6,Rochester,7555315.982962275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ece,Rochester,183073.72427448945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000283,Rochester Hills,83367.1084146537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001417,Rock Falls,3.394859315372929E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,Rock Hill,2.5331562227193573E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528,Rock Island,1.467581297826876E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000888,Rock Springs,161584.88955688477,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007b4,Rockaway,1.1467998691106527E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001284,Rockcreek,2484327.55499103,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,Rockford,4.6623759927384354E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000138e,Rockingham,2.6105592515676805E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b35,Rockland,9.697967754422677E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000702,Rockledge,1.3008632142933114E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ad,Rocklin,7.697115436352882E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011f9,Rockport,2.8120780157365356E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ed,Rockville,1.4498440446084797E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a1,Rockville Centre,2.525305383893233E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000409,Rockwall,6.5589239029227704E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000396,Rocky Mount,2.2666966379679385E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e23,Rocky Point,9.932325869459248E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000942,Rocky River,1312748.066446342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001350,Rodeo,4.585469080529733E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000103a,Roessleville,96969.99605246152,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c7,Rogers,2.3307409505568293E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e8d,Rogers,1619.621925354004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000454,Rohnert Park,8.71112198836016E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012cf,Rolesville,2.504782977459035E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ee,Rolla,2.8928217690779823E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000084e,Rolling Meadows,3.2709932240230937E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001049,Roma,4105789.672397658,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000051d,Rome,3.16078863075867E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060e,Rome,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c4,Romeoville,6252337.3161470005,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007ea,Romulus,1763826.5697899023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7b,Ronkonkoma,4.720031531635026E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a40,Roosevelt,2.6756825394417763E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009a3,Rosamond,244049.52801513672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fbc,Rosaryville,2.2098672157409775E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010b5,Roscoe,4.0024130219011925E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000096b,Rose Hill,1.2956558588863666E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000871,Roseburg,3.4940774809804894E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009e8,Rosedale,1.1401828002174431E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a49,Rosedale,5.71084006472136E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c2,Roselle,3.3110368168481875E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e5,Roselle,4.065890920733772E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000de8,Roselle Park,4.421760541137822E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c5,Rosemead,2.8937422446155846E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000085f,Rosemont,3.2802675637776114E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000078a,Rosemount,1136.1608581542969,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f3,Rosenberg,1.0725415452760054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,Roseville,4.246712143189012E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000411,Roseville,512891.94118912634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054e,Roseville,1556.8662948608398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001260,Roslyn,1.1838040225756961E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d9,Ross,1.5103597300321784E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001008,Rossmoor,1.7203608602806617E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cb7,Rossville,1.6407384457349014E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001070,Rostraver,7452.504741893095,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fc,Roswell,2.057610734360234E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000404,Roswell,5.4472955953073986E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001207,Rotonda,8.182314020469588E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066b,Rotterdam,2053.0453033447266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9a,Round Lake,2.1889994101087447E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,Round Lake Beach,1.1828093982616946E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178,Round Rock,2.6511977547799468E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000416,Rowland Heights,6.090768794546752E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000317,Rowlett,6.069323924583619E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013cf,Roxborough Park,6679447.674390366,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008a6,Roxbury,1.1306451597056213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e6,Roy,4.4522707187037244E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000df4,Royal Kunia,8.125074475185019E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000362,Royal Oak,878530.0517775591,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e9,Royal Palm Beach,1.0861720079705012E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d0c,Royse City,1.0933103753017342E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006cd,Ruskin,1.2926029343348879E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006c7,Russellville,2.7907406423095876E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001131,Russellville,3.260151588959716E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008f7,Ruston,2.8962794249667215E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8b,Rutherford,1.3623271788024932E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c85,Rutland,941.6179351806641,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013b4,Rutland,8.037227836791901E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ed,Rye,1.3217424392302363E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001286,Rye Brook,1.6225906250462833E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000700,Sachse,5.546652662681109E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ba,Saco,2052004.3676738658,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Sacramento,3.818292884943727E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d9d,Saddle Brook,2.5853192581662383E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000fc1,Saddlebrooke,2261023.777126447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b96,Safety Harbor,1.08407702890954E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000122d,Safford,3739610.1566477744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f,Saginaw,3990.9363021850586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000084b,Saginaw,2.2726989285771236E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7,Sahuarita,8225173.4581788005,"{""type"":""MultiPoint"",""coordinates"":[]}"
