system:index,city,greenSpaceArea_m2,.geo
000000000000000009d7,Hazlet,7.073578306258596E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000692,Hazleton,6.4612135866378665E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000105a,Healdsburg,1.3558630594274092E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000147f,Heartland,1.0618583739369299E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119c,Heath,7.298402324978095E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b7,Heath,6.919459517375085E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb4,Heber,1.6545575644569397E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f7,Helena,863518.024949257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000978,Helena,2.750988937749967E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001340,Helena Valley Southeast,1411262.711424525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001326,Helena-West Helena,4.47224442616274E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000139a,Helotes,5.824626363372826E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,Hemet,1.138154974044219E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000495,Hempfield,145020.9372769523,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,Hempstead,2.2611607698741898E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,Henderson,6077743.865441918,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006f0,Henderson,9.109053209653091E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d17,Henderson,3.040407287689135E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e7c,Henderson,2.3418457623677778E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032f,Hendersonville,2.134466712558338E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d01,Hendersonville,3.019269062523476E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000423,Henrietta,73.06881713867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000786,Hercules,6.6748635597834535E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d21,Hereford,1.2416604364214316E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ec,Herkimer,66074.03187561035,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001226,Hermantown,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a39,Hermiston,4.6126298619452246E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c30,Hermitage,4.653446533240268E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a1c,Hermosa Beach,8940068.937446497,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b75,Hernando,1.7429136104783973E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001412,Hernando,2.3443026799050018E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000823,Herndon,1.61538787838694E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000389,Herriman,1.2059375636992034E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f6e,Herrin,9.43691383297477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d55,Hershey,3.528376786448064E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,Hesperia,3841874.0430272715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5b,Hewitt,4.771483794480688E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,Hialeah,2.680000384810894E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c6,Hialeah Gardens,3.2191495965140197E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c3d,Hibbing,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000131c,Hickam Housing,4.939084344367693E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,Hickory,2.521331091326873E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d27,Hickory Hills,6153742.329692975,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e,Hicksville,8.269455077597085E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dd4,Hidalgo,2.0145860479432706E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114,High Point,2.535338702201919E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000374,Highland,5.0487934659931846E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000866,Highland,5850793.450655022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a38,Highland,2.0824515231126405E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000120a,Highland,8.435221986749694E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
