system:index,city,greenSpaceArea_m2,.geo
00000000000000000f75,Cypress Lake,7.949698052065143E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000edd,D'Iberville,1.1852875986368194E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8,Dakota Ridge,1.3639733436801983E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297,Dale City,2.3889313638605937E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Dallas,7.990937422948737E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb0,Dallas,3.431715329172009E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dc7,Dallas,3.077338387492496E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013af,Dallas,3.714094025821736E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6,Dalton,3.1947497507220346E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6,Daly City,1.936752642723416E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc6,Damascus,2.4345687609114072E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001182,Damascus,7036673.976493955,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e6,Dana Point,4.82462306069714E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,Danbury,2.4888849960269293E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000625,Dania Beach,3.959051636501895E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006fc,Danvers,1.6423422481499813E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000469,Danville,1.015090983235138E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000481,Danville,2.9876104701749855E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006c0,Danville,9.630726225543243E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b80,Danville,3.1209925336256456E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000111d,Danville,1.1335473539649751E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006fe,Daphne,1.757403324935948E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001156,Darby,6.264332750986488E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee2,Dardenne Prairie,1.8985831872231123E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000091a,Darien,5266755.432623201,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000601,Dartmouth,2.13752774588141E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,Davenport,9.386848308096625E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001202,Davenport,1.8556968152781782E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cf0,Davidson,2.234271614240727E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b8,Davie,8.784964564082219E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e,Davis,6.973726709145862E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,Dayton,1.1231401555435851E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc3,Dayton,2610119.117156923,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000142f,Dayton,1.877916230571596E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029f,Daytona Beach,1.9761825374028805E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c5,De Pere,291475.6300237319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000789,De Witt,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000108c,De Witt,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008f6,DeBary,2.2317346541429514E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001130,DeForest,9.007453172137946E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b3,DeKalb,6.6658075547515795E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ff,DeLand,2.5595903376617754E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000129a,DeRidder,1.9387799722728318E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037e,DeSoto,7.949798808391261E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ac,Dearborn,527773.2301859239,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000325,Dearborn Heights,478245.9730229097,"{""type"":""MultiPoint"",""coordinates"":[]}"
